numOfAuthor,TotalCost
1,2.1178500000047507
2,3.180604000000642
3,3.7183579999890526
4,4.256111999967516
5,4.793866000005664
6,5.331619999964232
7,5.344373999975005
8,6.407127999960949
9,6.944882000078678
10,7.482636000037246
11,8.015013999988696
12,8.558144000232915
13,9.095898000271063
14,9.633652000229631
15,10.17140600026778
16,10.709160000305928
17,11.246914000344077
18,11.784668000302645
19,12.322422000420374
20,12.860176000458523
21,13.397930000496672
22,13.93568400053482
23,14.473438000572969
24,15.01119200077028
25,15.548946000649266
26,16.086700000687415
27,16.624454000884725
28,17.149216000166234
29,17.69996200080186
30,18.23771600084001
31,18.77547000087816
32,19.313224000916307
33,19.850978001113617
34,20.388732001151766
35,20.926486001030753
36,21.4642400010689
37,22.00199400110705
38,22.5397480011452
39,23.07750200134251
40,23.615256001221496
41,24.153010001100483
42,24.69076400097947
43,25.228518000540134
44,25.746111999706045
45,26.30402600061643
46,26.84178000049542
47,27.379534000056083
48,27.91728799993507
49,28.455041999814057
50,28.992796000011367
51,29.530549999890354
52,30.06830399976934
53,30.58186599828332
54,31.143811999208992
55,31.681565999406303
56,32.21931999928529
57,32.75707399916428
58,33.294827999043264
59,33.83258199892225
60,34.37033599880124
61,34.908089998680225
62,35.44584399855921
63,35.9835979984382
64,36.52135199799886
65,37.05910599819617
66,37.59685999807516
67,38.13461399795415
68,38.672367997833135
69,39.21012199771212
70,39.22287599748415
71,39.76062999736314
